"filename", "language", "JSON with Comments", "TypeScript JSX", "JSON", "TypeScript", "CSS", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/utils/title-header.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/components/works/index.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/next.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 1, 2, 6
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/package.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 1, 44
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/pages/_app.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/pages/_document.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/pages/about/index.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 14, 4, 32
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/pages/blog/index.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/pages/contact/index.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/pages/download/index.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 1, 3, 37
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/pages/experience/index.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/pages/home/index.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/pages/index.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/pages/showcase/index.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/pages/works/index.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/styles/MuiTypography.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/styles/color.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/styles/customTheme.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 3, 68
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/styles/globals.css", "CSS", 0, 0, 0, 0, 45, 0, 0, 95, 3, 143
"/Users/Jakai/Documents/Documents/07-WEb-DEV/32-Personal-Pros/01JakaiPage/jakaipage2.0/tsconfig.json", "JSON with Comments", 25, 0, 0, 0, 0, 0, 0, 2, 1, 28
"Total", "-", 28, 870, 43, 235, 52, 23, 3, 117, 137, 1508
